"","year","nom.id","ind.id","chemistryaward","city","city_2","comments","country","country_2","department","gender","literatureaward","medicineaward","motivation","name","number","peaceaward","peaceaward_2","physicsaward","profession","state","university","university_2","yearbirth","yeardeath","award","n.noms","n.props","tot.noms","tot.props","prop.noms","prop.props","rank.noms","year.range"
"1","1901",218,"nom",NA,"Copenhagen",NA,"Passy began working for peace during the Crimean War, but he did not involve himself more actively in peace work until 1867.","DENMARK (DK)",NA,NA,"M",NA,NA,"Passy's career as a peace worker began in 1856 with his opposition to the Crimean War. In 1867 he founded the first French peace society (Ligue internationale et permanente de la paix). Passy promoted free trade, pacifism, international law and arbitration. As a member of parliament (1881-1889), Passy also contributed to the founding of the Inter-Parliamentary Union.
Bajer promoted Nordic neutrality and brotherhood. He was one of the initiators and founders of the Permanent International Peace Bureau, and he was the first president of the Peace Bureau. Bajer was also member of the council of the Inter-Parliamentary Union. He organized peace work both in Denmark and internationally, both popular peace movements and parliamentary peace work. Bajer was Scandinavia's most prominent peace advocate.","Fredrik  Bajer","1 - 1","1908",NA,NA,"Veteran peace worker. Member of the Council of the Inter-Parliamentary Union and the Commission of the Peace Bureau.",NA,NA,NA,"1837","1922",0,4,1,189,141,0.0211640211640212,0.00709219858156028,13.5,"1900-1910"
"2","1901",218,"nom",NA,"Neuilly-sur-Seine",NA,NA,"FRANCE (FR)",NA,NA,"M",NA,NA,"Bajer promoted Nordic neutrality and brotherhood. He was one of the initiators and founders of the Permanent International Peace Bureau, and he was the first president of the Peace Bureau. Bajer was also member of the council of the Inter-Parliamentary Union. He organized peace work both in Denmark and internationally, both popular peace movements and parliamentary peace work. Bajer was Scandinavia's most prominent peace advocate. Passy's career as a peace worker began in 1856 with his opposition to the Crimean War. In 1867 he founded the first French peace society (Ligue internationale et permanente de la paix). Passy promoted free trade, pacifism, international law and arbitration. As a member of parliament (1881-1889), Passy also contributed to the founding of the Inter-Parliamentary Union.","Frédéric  Passy","1 - 1","1901",NA,NA,"Pioneer peace worker. Organizer of peace societies and congresses. Co-founder of the Interparliamentary Union.",NA,NA,NA,"1822","1912",1,41,0,189,141,0.216931216931217,0,1,"1900-1910"
"3","1901",218,"prop",NA,"Copenhagen",NA,"Høgsbro nominated Bajer and Passy on behalf of the Danish Inter-Parliamentary Group.","DENMARK (DK)",NA,NA,"M",NA,NA,NA,"Sofus  Høgsbro","1 - 1",NA,NA,NA,"Chairman of the Danish Parliament",NA,NA,NA,NA,NA,0,0,2,189,141,0,0.0141843971631206,82.5,"1900-1910"
"4","1901",290,"prop",NA,NA,NA,"Hanssen was a member of the Norwegian Nobel Committee from 1913 to 1939.","NORWAY (NO)",NA,NA,"M",NA,NA,NA,"Bernhard  Hanssen","1 - 2",NA,NA,NA,"Member of parliament",NA,NA,NA,NA,NA,0,0,2,189,141,0,0.0141843971631206,82.5,"1900-1910"
"5","1901",671,"nom",NA,"Stuttgart",NA,NA,"GERMANY (DE)",NA,NA,NA,NA,NA,NA,"Conrad  Beyer","2 - 1",NA,NA,NA,"Professor",NA,NA,NA,NA,NA,0,1,0,189,141,0.00529100529100529,0,28.5,"1900-1910"
"6","1901",671,"prop",NA,NA,NA,"Emil Jonas did not qualify as a nominator, but his nomination was supported by several letters from people who did qualify as nominators, including a declaration from Fr. von Balz, president of the Stuttgart parliament.",NA,NA,NA,NA,NA,NA,NA,"Emil J Jonas","2 - 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,189,141,0,0.00709219858156028,82.5,"1900-1910"
"7","1901",1062,"nom",NA,"Warsaw",NA,NA,"RUSSIAN FEDERATION (RU)",NA,NA,"M",NA,NA,"Bloch was nominated for his work ""The Future of War in its Technical, Economic and Political Relations"" (6 vols., 1898). One of his conclusions was that there would be no decisive victories in future land wars between great powers; the armies would entrench themselves and the ensuing deadlock would last for years. Armed conflict would be determined not by military success but by the eventual economic collapse of societies.","Jean  de Bloch","3 - 1",NA,NA,NA,"Industrialist, philanthropist, publicist.",NA,NA,NA,"1836","1902",0,5,0,189,141,0.0264550264550265,0,11,"1900-1910"
"8","1901",1062,"prop",NA,"Lille",NA,"Emperor Nikolai II is said to have been influenced by ""The Future of War in its Technical, Economic and Politic Relations"" in his decision to convene the First Hague Peace Conference in 1899.","FRANCE (FR)",NA,NA,"M",NA,NA,NA,"Philippe  Sagnac","3 - 1",NA,NA,NA,"Professor of Modern History",NA,"Lille",NA,NA,NA,0,0,1,189,141,0,0.00709219858156028,82.5,"1900-1910"
"9","1901",1135,"prop",NA,"Krakow (Cracow)",NA,"Emperor Nikolai II is said to have been influenced by ""The Future of War in its Technical, Economic and Politic Relations"" in his decision to convene the First Hague Peace Conference in 1899.","POLAND (PL)",NA,NA,"M",NA,NA,NA,"Kasparek","3 - 2",NA,NA,NA,"Member of the International Institute of Law.",NA,NA,NA,NA,NA,0,0,1,189,141,0,0.00709219858156028,82.5,"1900-1910"
"10","1901",1165,"prop",NA,"The Hague",NA,"Dr. de la Faille wanted to draw the Norwegian Nobel Committee's attention to the following candidates as worthy recipients of the peace prize: 1. the International Peace Bureau and Ducommun 2. Passy 3. Dunant 4. Suttner 5. Bloch 6. ten Kate.

Emperor Nikolai II is said to have been influenced by ""The Future of War in its Technical, Economic and Politic Relations"" in his decision to convene the First Hague Peace Conference in 1899.","NETHERLANDS (NL)",NA,NA,"M",NA,NA,NA,"Samuel  Baart de la Faille","3 - 3",NA,NA,NA,"Member of the Commission of the Permanent International Peace Bureau",NA,NA,NA,NA,NA,0,0,7,189,141,0,0.049645390070922,82.5,"1900-1910"
"11","1901",1183,"prop",NA,"Rome",NA,"Nigra wanted the Norwegian Nobel Committee to bestow an honorary peace award on Czar Nikolai II of Russia for his initiative that resulted in the 1899 Hague Peace Conference. In addition, Nigra wished that the Nobel Committee would divide the prize money between some worthy peace workers, namely Frédéric Passy, Bertha von Suttner and Jean de Bloch.

Emperor Nikolai II is said to have been influenced by ""The Future of War in its Technical, Economic and Politic Relations"" in his decision to convene the First Hague Peace Conference in 1899.","ITALY (IT)",NA,NA,"M",NA,NA,NA,"Count  Nigra","3 - 4",NA,NA,NA,"Former Italian ambassador to Austria. Sentator.",NA,NA,NA,NA,NA,0,0,4,189,141,0,0.0283687943262411,82.5,"1900-1910"
"12","1901",1448,"nom",NA,"London",NA,NA,"UNITED KINGDOM (GB)",NA,NA,"M",NA,NA,"Cremer established the International Arbitration League in 1870. He initiated an arbitration treaty between Great Britain and the USA. Cremer organized and promoted inter-parliamentary peace conferences, and he was editor of the journal ""The Arbitrator"". He was the only labor leader in the peace movement. Cremer was also one of the founders of the Inter-Parliamentary Union.","William Randal  Cremer","4 - 1","1903",NA,NA,"Member of parliament. Secretary of the International Arbitration League. Co-founder of the Inter-Parliamentary Union.",NA,NA,NA,"1828","1908",0,15,0,189,141,0.0793650793650794,0,2,"1900-1910"
"13","1901",1448,"prop",NA,NA,NA,"Passy began working for peace during the Crimean War, but he did not involve himself more actively in peace work until 1867.","NETHERLANDS (NL)",NA,NA,"M",NA,NA,NA,"S  van Houten","4 - 1",NA,NA,NA,"Cabinet Minister. Member of the Inter-Parliamentary Council.",NA,NA,NA,NA,NA,0,0,2,189,141,0,0.0141843971631206,82.5,"1900-1910"
